Course,Section #,# GPA Grades,Ave. GPA1,SD2,Median GPA3,% A,% B,% C,% D,% F,% P,% I,% AU,% W/AW,#Letter Grades Awarded
CHME 202,1,47,2.72,0.78,3.00,10.6,59.6,25.5,2.1,2.1,0.0,0.0,0.0,0.0,47
CHME 203,1,42,3.17,0.50,3.33,28.6,59.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,42
CHME 303,1,41,2.50,0.98,2.33,24.4,22.0,41.5,9.8,2.4,0.0,0.0,0.0,0.0,41
CHME 304,1,40,2.63,0.72,2.50,12.5,37.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,40
CHME 305,1,12,3.42,0.29,3.50,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
CHME 305,3,11,3.40,0.33,3.67,54.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
CHME 305,4,14,3.55,0.21,3.67,57.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
CHME 352,1,40,3.41,0.16,3.33,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
CHME 402,1,29,3.25,0.45,3.33,31.0,62.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0,29
CHME 403,1,30,2.32,0.84,2.50,6.7,43.3,36.7,10.0,3.3,0.0,0.0,0.0,0.0,30
CHME 421,1,31,2.82,0.75,3.00,16.1,51.6,22.6,9.7,0.0,0.0,0.0,0.0,0.0,31
CHME 454,1,5,3.13,0.18,3.00,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
CHME 461,1,30,3.01,0.58,3.00,23.3,66.7,6.7,3.3,0.0,0.0,0.0,0.0,0.0,30
CEE 201,1,3,2.45,0.69,2.67,0.0,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,3
CEE 202,1,66,2.57,0.85,2.67,14.7,39.7,30.9,8.8,2.9,0.0,2.9,0.0,0.0,68
CEE 203,1,75,2.14,1.19,2.33,13.0,32.5,23.4,14.3,14.3,0.0,2.6,0.0,0.0,77
CEE 301,1,54,1.86,1.10,2.00,9.3,22.2,33.3,18.5,16.7,0.0,0.0,0.0,0.0,54
CEE 303,1,60,2.39,1.01,2.67,11.7,41.7,26.7,15.0,5.0,0.0,0.0,0.0,0.0,60
CEE 305,1,59,3.29,1.04,3.67,61.0,25.4,6.8,0.0,6.8,0.0,0.0,0.0,0.0,59
CEE 350,1,28,2.45,0.96,2.67,10.0,43.3,20.0,16.7,3.3,0.0,0.0,0.0,6.7,30
CEE 352,1,32,2.51,1.05,2.67,6.1,63.6,15.2,0.0,12.1,0.0,0.0,0.0,3.0,33
CEE 400,1,79,3.69,0.29,3.67,78.8,18.8,1.3,0.0,0.0,0.0,0.0,0.0,1.3,80
CEE 457,1,54,2.52,0.76,2.67,11.1,42.6,37.0,9.3,0.0,0.0,0.0,0.0,0.0,54
CEE 458,1,30,3.49,0.60,3.67,61.3,29.0,6.5,0.0,0.0,0.0,0.0,0.0,3.2,31
CEE 463,1,23,3.57,0.63,3.67,61.5,23.1,0.0,3.8,0.0,0.0,0.0,0.0,11.5,26
CEE 464,1,15,3.67,0.28,3.67,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
CEE 466,1,36,2.40,0.85,2.33,10.5,34.2,34.2,13.2,2.6,0.0,0.0,0.0,5.3,38
CEE 467,1,57,3.14,0.72,3.00,40.4,42.1,15.8,1.8,0.0,0.0,0.0,0.0,0.0,57
CEE 468,1,25,2.59,1.06,2.67,24.0,28.0,36.0,8.0,4.0,0.0,0.0,0.0,0.0,25
ELCE 308,1,39,2.85,0.83,3.00,30.8,35.9,25.6,7.7,0.0,0.0,0.0,0.0,0.0,39
ELCE 310,1,17,3.47,0.73,3.67,64.7,23.5,5.9,5.9,0.0,0.0,0.0,0.0,0.0,17
ELCE 310,2,7,3.43,0.46,3.67,57.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
ELCE 310,3,18,3.78,0.28,3.83,88.9,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
ELCE 310,4,12,3.56,0.52,3.67,58.3,33.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12
ELCE 403,1,8,3.17,0.82,3.33,33.3,33.3,22.2,0.0,0.0,0.0,0.0,0.0,11.1,9
ELCE 458,1,31,2.85,1.03,3.33,30.3,42.4,9.1,9.1,3.0,0.0,0.0,0.0,6.1,33
ELCE 459,1,22,2.36,1.14,2.50,12.5,33.3,29.2,8.3,8.3,0.0,0.0,8.3,0.0,24
ELCE 486,1,51,2.69,0.97,2.67,21.6,43.1,27.5,3.9,3.9,0.0,0.0,0.0,0.0,51
ENG 101,1,65,3.05,0.72,3.00,16.7,71.2,7.6,0.0,3.0,0.0,0.0,0.0,1.5,66
ENG 102,1,52,2.67,0.70,2.67,3.8,67.3,25.0,0.0,3.8,0.0,0.0,0.0,0.0,52
ENG 102,2,25,2.56,0.51,2.67,3.8,46.2,42.3,3.8,0.0,0.0,0.0,0.0,3.8,26
ENG 102,3,54,2.47,0.78,2.50,5.4,42.9,37.5,8.9,1.8,0.0,0.0,0.0,3.6,56
ENG 103,1,64,2.71,0.71,2.67,7.8,65.6,21.9,1.6,3.1,0.0,0.0,0.0,0.0,64
ENG 103,2,35,2.42,0.81,2.67,2.8,50.0,36.1,2.8,5.6,0.0,0.0,0.0,2.8,36
ENG 201,1,43,3.09,0.95,3.33,39.5,39.5,16.3,0.0,4.7,0.0,0.0,0.0,0.0,43
ENG 201,2,67,2.63,0.90,2.67,15.9,42.0,26.1,10.1,2.9,0.0,2.9,0.0,0.0,69
ENG 201,3,64,2.98,1.10,3.33,43.1,30.8,15.4,3.1,6.2,0.0,0.0,0.0,1.5,65
ENG 201,4,18,2.76,1.20,3.17,38.9,16.7,27.8,11.1,5.6,0.0,0.0,0.0,0.0,18
ENG 201,5,14,2.57,0.88,2.67,14.3,42.9,28.6,14.3,0.0,0.0,0.0,0.0,0.0,14
ENG 202,1,56,2.56,0.80,2.33,12.5,35.7,42.9,8.9,0.0,0.0,0.0,0.0,0.0,56
ENG 202,2,66,2.87,0.86,3.00,16.7,65.2,12.1,0.0,6.1,0.0,0.0,0.0,0.0,66
ENG 202,3,44,2.72,1.12,3.00,34.1,31.8,20.5,6.8,6.8,0.0,0.0,0.0,0.0,44
ENG 400,2,70,3.52,0.78,3.67,68.1,20.8,5.6,0.0,2.8,0.0,1.4,0.0,1.4,72
ENG 400,3,52,3.01,0.79,3.00,26.9,50.0,19.2,0.0,3.8,0.0,0.0,0.0,0.0,52
ENG 400,4,29,3.40,0.35,3.33,44.8,51.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,29
ENG 400,5,84,3.43,0.44,3.33,35.3,62.4,0.0,1.2,0.0,0.0,0.0,0.0,1.2,85
MAE 205,1,58,2.42,0.84,2.33,8.2,37.7,34.4,13.1,1.6,0.0,3.3,0.0,1.6,61
MAE 206,1,62,2.22,1.16,2.67,14.3,36.5,22.2,14.3,11.1,0.0,0.0,0.0,1.6,63
MAE 305,1,47,2.25,0.97,2.33,4.3,38.3,40.4,10.6,6.4,0.0,0.0,0.0,0.0,47
MAE 306,1,52,2.50,1.23,2.67,27.8,24.1,27.8,5.6,11.1,0.0,0.0,0.0,3.7,54
MAE 307,1,52,2.86,1.01,3.00,30.8,40.4,19.2,5.8,3.8,0.0,0.0,0.0,0.0,52
MAE 350,1,24,1.88,1.27,2.33,8.0,28.0,24.0,16.0,20.0,0.0,0.0,0.0,4.0,25
MAE 351,1,40,3.24,0.58,3.33,37.5,50.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,40
MAE 451,1,12,3.67,0.29,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
MAE 455,1,33,2.74,1.02,3.00,17.1,54.3,14.3,0.0,8.6,0.0,0.0,2.9,2.9,35
MAE 455,2,2,3.83,0.23,3.83,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
MAE 456,1,20,2.68,0.57,2.50,13.0,30.4,43.5,0.0,0.0,0.0,0.0,13.0,0.0,23
MAE 457,1,35,2.78,1.19,3.00,37.1,34.3,14.3,5.7,8.6,0.0,0.0,0.0,0.0,35
MAE 460,1,21,2.83,0.92,3.00,19.0,66.7,4.8,4.8,4.8,0.0,0.0,0.0,0.0,21
MAE 463,1,40,2.31,1.08,2.33,12.5,32.5,37.5,7.5,10.0,0.0,0.0,0.0,0.0,40
MAE 464,1,22,2.56,0.88,2.83,8.7,43.5,34.8,4.3,4.3,0.0,0.0,0.0,4.3,23
CSCI 332,1,82,2.24,1.13,2.33,8.3,38.1,27.4,11.9,11.9,0.0,0.0,0.0,2.4,84
CSCI 332,2,82,2.31,0.90,2.33,7.1,39.3,34.5,11.9,4.8,0.0,0.0,0.0,2.4,84
CSCI 332,3,51,2.29,0.90,2.33,5.7,37.7,32.1,18.9,1.9,0.0,0.0,0.0,3.8,53
CSCI 333,1,41,2.08,1.16,2.33,11.9,28.6,21.4,26.2,9.5,0.0,0.0,0.0,2.4,42
CSCI 333,2,83,2.43,1.05,2.67,14.3,38.1,29.8,10.7,6.0,0.0,0.0,0.0,1.2,84
CSCI 333,3,84,2.52,0.92,2.67,14.1,37.6,32.9,10.6,3.5,0.0,0.0,0.0,1.2,85
CSCI 409,1,149,3.59,0.40,3.67,61.3,37.3,0.0,0.7,0.0,0.0,0.0,0.0,0.7,150
CSCI 447,1,40,2.93,1.07,3.00,29.8,36.2,10.6,2.1,6.4,0.0,0.0,6.4,8.5,47
CSCI 462,1,11,0.85,1.31,0.00,0.0,13.3,6.7,6.7,46.7,0.0,0.0,0.0,26.7,15
CSCI 490,1,19,3.25,0.92,3.33,30.0,23.3,3.3,6.7,0.0,0.0,0.0,3.3,33.3,30
CSCI 495,1,15,2.33,1.06,2.33,16.7,16.7,16.7,33.3,0.0,0.0,0.0,0.0,16.7,18
